[ 2024-12-10 21:54:28,206 ] 14 root - INFO - Initiate the data ingestion
[ 2024-12-10 21:54:33,199 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-12-10 21:54:33,199 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-10 21:54:33,199 ] 75 root - INFO - Exporting train and test file path.
[ 2024-12-10 21:54:33,264 ] 84 root - INFO - Exported train and test file path.
[ 2024-12-10 21:54:33,265 ] 17 root - INFO - Data Initiation Completed
[ 2024-12-10 21:54:33,271 ] 20 root - INFO - Initiate data validation
[ 2024-12-10 21:54:33,297 ] 32 root - INFO - Required number of columns:2
[ 2024-12-10 21:54:33,298 ] 33 root - INFO - Dataframe has columns:31
[ 2024-12-10 21:54:33,298 ] 32 root - INFO - Required number of columns:2
[ 2024-12-10 21:54:33,298 ] 33 root - INFO - Dataframe has columns:31
[ 2024-12-10 21:54:33,299 ] 53 root - INFO - Numeric columns prensent in dataframe
[ 2024-12-10 21:54:33,300 ] 53 root - INFO - Numeric columns prensent in dataframe
[ 2024-12-10 21:54:33,437 ] 22 root - INFO - Data Validation Competed
